stock-code,reference-price,celling-price,floor-price,price,volume,total-volume,total-value,highest-price,lowest-price,average-price
BCP,10.2,11.7,8.7,10.2,0.3,1.6,16280,10.2,10.0,10.2
BCV,21.5,30.1,12.9,0.0,0.0,0.0,0,0.0,0.0,0.0
BDG,44.0,50.6,37.4,44.0,0.3,15.7,690780,44.1,43.8,44.0
BDT,39.1,44.9,33.3,44.0,0.1,0.1,4400,44.0,44.0,44.0
BDW,17.8,20.4,15.2,0.0,0.0,0.0,0,0.0,0.0,0.0
BEL,13.0,14.9,11.1,0.0,0.0,0.0,0,0.0,0.0,0.0
BGW,19.5,22.4,16.6,0.0,0.0,0.0,0,0.0,0.0,0.0
BHA,13.4,15.4,11.4,0.0,0.0,0.0,0,0.0,0.0,0.0
BHC,4.5,5.1,3.9,4.1,0.4,1.0,4100,4.1,4.1,4.1
BHG,13.5,15.5,11.5,0.0,0.0,0.0,0,0.0,0.0,0.0
BHK,13.8,15.8,11.8,0.0,0.0,0.0,0,0.0,0.0,0.0
BHP,9.4,10.8,8.0,10.5,0.1,2.6,27300,10.5,10.5,10.5
DAC,5.9,6.7,5.1,0.0,0.0,0.0,0,0.0,0.0,0.0
DAN,55.9,64.2,47.6,57.9,0.1,0.1,5790,57.9,57.9,57.9
DAP,35.6,40.9,30.3,0.0,0.0,0.0,0,0.0,0.0,0.0
DAR,13.0,14.9,11.1,0.0,0.0,0.0,0,0.0,0.0,0.0
DAS,14.7,16.9,12.5,0.0,0.0,0.0,0,0.0,0.0,0.0
DBH,7.8,10.9,4.7,0.0,0.0,0.0,0,0.0,0.0,0.0
DBM,30.0,34.5,25.5,0.0,0.0,0.0,0,0.0,0.0,0.0
DBW,10.0,14.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DC1,20.7,23.8,17.6,20.0,2.1,3.8,75070,20.0,17.6,19.8
DCF,21.0,24.1,17.9,0.0,0.0,0.0,0,0.0,0.0,0.0
DCG,13.4,15.4,11.4,0.0,0.0,0.0,0,0.0,0.0,0.0
DCH,6.8,7.8,5.8,5.9,1.9,1.9,11210,5.9,5.9,5.9
DCR,9.2,10.5,7.9,8.9,0.1,23.2,221370,10.5,8.1,9.5
DCS,3.8,4.3,3.3,3.8,0.1,2311.2,8717180,4.1,3.6,3.8
DCT,3.1,3.5,2.7,2.8,0.3,60.3,168130,3.1,2.7,2.8
DDH,5.3,7.4,3.2,0.0,0.0,0.0,0,0.0,0.0,0.0
